No.,storeNumber,countryCode,ownershipTypeCode,schedule,slug,latitude,longitude,streetAddressLine1,streetAddressLine2,streetAddressLine3,city,countrySubdivisionCode,postalCode,currentTimeOffset,windowsTimeZoneId,olsonTimeZoneId,GMT,GMT_city,Mon,Tue,Wed,Thu,Fri,Sat,Sun
11239,20208-201324,US,LS,"[{'dayName': 'Today', 'hours': '8:00 AM to 3:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '8:00 AM to 3:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '8:00 AM to 3:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '8:00 AM to 3:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '8:00 AM to 3:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '8:00 AM to 3:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '8:00 AM to 3:00 PM', 'open': True, 'holiday': ''}]",university-of-michigan-ross-school-701-tappan-avenue-ann-arbor-mi-48109-us,42.272958,-83.737583,701 Tappan Avenue,Null,Null,Ann Arbor,MI,48109,-240,Eastern Standard Time,GMT-05:00 America/Detroit,GMT-05:00,America/Detroit,8:00 AM to 3:00 PM,8:00 AM to 3:00 PM,8:00 AM to 3:00 PM,8:00 AM to 3:00 PM,8:00 AM to 3:00 PM,8:00 AM to 3:00 PM,8:00 AM to 3:00 PM
11240,2482-27691,US,CO,"[{'dayName': 'Today', 'hours': '5:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '5:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '5:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '5:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '6:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '6:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '5:30 AM to 10:00 PM', 'open': True, 'holiday': ''}]",s-university-church-1214-south-university-ave-ann-arbor-mi-481042548-u,42.274899,-83.734125,1214 South University Ave,Null,Null,Ann Arbor,MI,481042548,-240,Eastern Standard Time,GMT-05:00 America/Detroit,GMT-05:00,America/Detroit,5:30 AM to 10:00 PM,5:30 AM to 10:00 PM,5:30 AM to 10:00 PM,5:30 AM to 10:00 PM,5:30 AM to 10:00 PM,6:00 AM to 9:00 PM,6:00 AM to 9:00 PM
11241,76576-99389,US,LS,"[{'dayName': 'Today', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}]",target-ann-arbor-t-634-2000-waters-rd-ann-arbor-mi-481038999-us,42.243722,-83.769394,2000 Waters Rd,Null,Null,Ann Arbor,MI,481038999,-240,Eastern Standard Time,GMT-05:00 America/Detroit,GMT-05:00,America/Detroit,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM
11242,19556-194345,US,LS,"[{'dayName': 'Today', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '8:00 AM to 9:00 PM', 'open': True, 'holiday': ''}]",target-novi-t-1465-27100-wixom-rd-novi-mi-48374-us,42.488351,-83.535337,27100 Wixom Rd,Null,Null,Novi,MI,48374,-240,Eastern Standard Time,GMT-05:00 America/Detroit,GMT-05:00,America/Detroit,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM,8:00 AM to 9:00 PM
11243,23876-232124,US,CO,"[{'dayName': 'Today', 'hours': '5:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '5:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '5:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '5:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '6:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '5:30 AM to 9:00 PM', 'open': True, 'holiday': ''}]",ann-arbor-saline-lohr-3141-ann-arbor-saline-rd-ann-arbor-mi-481039711-us,42.241399,-83.768042,3141 Ann Arbor-Saline Rd,Null,Null,Ann Arbor,MI,481039711,-240,Eastern Standard Time,GMT-05:00 America/Detroit,GMT-05:00,America/Detroit,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,6:00 AM to 9:00 PM,6:00 AM to 8:00 PM
11244,24496-74226,US,LS,"[{'dayName': 'Today', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '7:00 AM to 8:00 PM', 'open': True, 'holiday': ''}]",kroger-walled-lake-634-47060-pontiac-trl-walled-lake-mi-483904030-us,42.525944,-83.514975,47060 Pontiac Trl,Null,Null,Walled Lake,MI,483904030,-240,Eastern Standard Time,GMT-05:00 America/Detroit,GMT-05:00,America/Detroit,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM,7:00 AM to 8:00 PM
11245,2438-17888,US,CO,"[{'dayName': 'Today', 'hours': '9:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '9:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '9:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '9:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '9:00 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '9:00 AM to 6:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '9:00 AM to 8:00 PM', 'open': True, 'holiday': ''}]",briarwood-mall-100-briarwood-mall-cir-briarwood-mall-ann-arbor-mi,42.240572,-83.746557,100 Briarwood Mall Cir,Suite K105,Briarwood Mall,Ann Arbor,MI,481081602,-240,Eastern Standard Time,GMT-05:00 America/Detroit,GMT-05:00,America/Detroit,9:00 AM to 8:00 PM,9:00 AM to 8:00 PM,9:00 AM to 8:00 PM,9:00 AM to 8:00 PM,9:00 AM to 9:00 PM,9:00 AM to 9:00 PM,9:00 AM to 6:00 PM
11246,26894-245713,US,CO,"[{'dayName': 'Today', 'hours': '5:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '5:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '5:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '5:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '5:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '5:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '5:30 AM to 9:00 PM', 'open': True, 'holiday': ''}]",grand-river-beck-27212-beck-rd-novi-mi-483741348-us,42.490691,-83.515082,27212 Beck Rd,Null,Null,Novi,MI,483741348,-240,Eastern Standard Time,GMT-05:00 America/Detroit,GMT-05:00,America/Detroit,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM,5:30 AM to 9:00 PM
11247,73549-75584,US,LS,"[{'dayName': 'Today', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '6:00 AM to 8:00 PM', 'open': True, 'holiday': ''}]",albertsons-fallbrook-4786-1133-s-mission-rd-fallbrook-ca-920283222-us,33.372594,-117.254825,1133 S Mission Rd,Null,Null,Fallbrook,CA,920283222,-420,Pacific Standard Time,GMT-08:00 America/Los_Angeles,GMT-08:00,America/Los_Angeles,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM,6:00 AM to 8:00 PM
11248,25590-241424,US,CO,"[{'dayName': 'Today', 'hours': '4:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '4:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '4:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '4:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '5:00 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '5:30 AM to 10:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '4:30 AM to 10:00 PM', 'open': True, 'holiday': ''}]",mission-ammunition-1139-south-mission-road-fallbrook-ca-920283233-us,33.371477,-117.253129,1139 South Mission Road,Null,Null,Fallbrook,CA,920283233,-420,Pacific Standard Time,GMT-08:00 America/Los_Angeles,GMT-08:00,America/Los_Angeles,4:30 AM to 10:00 PM,4:30 AM to 10:00 PM,4:30 AM to 10:00 PM,4:30 AM to 10:00 PM,4:30 AM to 10:00 PM,5:00 AM to 10:00 PM,5:30 AM to 10:00 PM
11249,10852-101663,US,CO,"[{'dayName': 'Today', 'hours': '4:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Tomorrow', 'hours': '4:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Thursday', 'hours': '4:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Friday', 'hours': '4:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Saturday', 'hours': '4:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Sunday', 'hours': '5:30 AM to 9:00 PM', 'open': True, 'holiday': ''}, {'dayName': 'Monday', 'hours': '4:30 AM to 9:00 PM', 'open': True, 'holiday': ''}]",castaic-rd-lake-hughes-31777-castaic-road-the-vine-at-castaic-castaic-ca-,34.495397,-118.621991,31777 Castaic Road,Null,The Vine at Castaic,Castaic,CA,913843916,-420,Pacific Standard Time,GMT-08:00 America/Los_Angeles,GMT-08:00,America/Los_Angeles,4:30 AM to 9:00 PM,4:30 AM to 9:00 PM,4:30 AM to 9:00 PM,4:30 AM to 9:00 PM,4:30 AM to 9:00 PM,4:30 AM to 9:00 PM,5:30 AM to 9:00 PM
