No.,storeNumber,countryCode,ownershipTypeCode,latitude,longitude,address,city,countrySubdivisionCode,postalCode,windowsTimeZoneId,GMT,GMT_region,Mon_open,Mon_close,Tue_open,Tue_close,Wed_open,Wed_close,Thu_open,Thu_close,Fri_open,Fri_close,Sat_open,Sat_close,Sun_open,Sun_close
11239,20208-201324,US,LS,42.272958,-83.737583,701 Tappan Avenue,ann arbor,MI,48109,Eastern Standard Time,GMT-05:00,America/Detroit,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00
11240,2482-27691,US,CO,42.274899,-83.734125,1214 South University Ave,ann arbor,MI,481042548,Eastern Standard Time,GMT-05:00,America/Detroit,05:30,22:00,05:30,22:00,05:30,22:00,05:30,22:00,05:30,22:00,06:00,21:00,06:00,21:00
11241,76576-99389,US,LS,42.243722,-83.769394,2000 Waters Rd,ann arbor,MI,481038999,Eastern Standard Time,GMT-05:00,America/Detroit,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
11242,19556-194345,US,LS,42.488351,-83.535337,27100 Wixom Rd,novi,MI,48374,Eastern Standard Time,GMT-05:00,America/Detroit,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
11243,23876-232124,US,CO,42.241399,-83.768042,3141 Ann Arbor-Saline Rd,ann arbor,MI,481039711,Eastern Standard Time,GMT-05:00,America/Detroit,05:30,21:00,05:30,21:00,05:30,21:00,05:30,21:00,05:30,21:00,06:00,21:00,06:00,20:00
11244,24496-74226,US,LS,42.525944,-83.514975,47060 Pontiac Trl,walled lake,MI,483904030,Eastern Standard Time,GMT-05:00,America/Detroit,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00
11245,2438-17888,US,CO,42.240572,-83.746557,100 Briarwood Mall Cir|Suite K105|Briarwood Mall,ann arbor,MI,481081602,Eastern Standard Time,GMT-05:00,America/Detroit,09:00,20:00,09:00,20:00,09:00,20:00,09:00,20:00,09:00,21:00,09:00,21:00,09:00,18:00
11246,26894-245713,US,CO,42.490691,-83.515082,27212 Beck Rd,novi,MI,483741348,Eastern Standard Time,GMT-05:00,America/Detroit,05:30,21:00,05:30,21:00,05:30,21:00,05:30,21:00,05:30,21:00,05:30,21:00,05:30,21:00
11247,73549-75584,US,LS,33.372594,-117.254825,1133 S Mission Rd,fallbrook,CA,920283222,Pacific Standard Time,GMT-08:00,America/Los_Angeles,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
11248,25590-241424,US,CO,33.371477,-117.253129,1139 South Mission Road,fallbrook,CA,920283233,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00,04:30,22:00,05:00,22:00,05:30,22:00
11249,10852-101663,US,CO,34.495397,-118.621991,31777 Castaic Road|The Vine at Castaic,castaic,CA,913843916,Pacific Standard Time,GMT-08:00,America/Los_Angeles,04:30,21:00,04:30,21:00,04:30,21:00,04:30,21:00,04:30,21:00,04:30,21:00,05:30,21:00
11250,59447-293145,US,LS,39.737529,-104.917455,1355 Krameria St,denver,CO,80220,Mountain Standard Time,GMT-07:00,America/Denver,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00
11251,74705-96758,US,LS,39.737532,-104.915592,6220 E 14th St,denver,CO,802202747,Mountain Standard Time,GMT-07:00,America/Denver,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
11252,270-138,US,CO,39.729279,-104.94098,801 Colorado Blvd.,denver,CO,802064037,Mountain Standard Time,GMT-07:00,America/Denver,05:30,18:00,05:30,18:00,05:30,18:00,05:30,18:00,05:30,18:00,05:30,18:00,05:30,18:00
11253,237-230005,US,CO,39.720859,-104.956887,250 Columbine|160,denver,CO,802064728,Mountain Standard Time,GMT-07:00,America/Denver,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:30,20:00,05:30,20:00
11254,1541-116885,US,LS,34.936839,-80.838035,6271 Carolina Commons Dr,fort mill,SC,297075980,Eastern Standard Time,GMT-05:00,America/New_York,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
11255,50741-276111,US,CO,34.93814,-80.836537,7716 Charlotte Highway|100,indian land,SC,29707,Eastern Standard Time,GMT-05:00,America/New_York,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:00,05:00,21:30,05:30,21:30,06:00,21:00
11256,18564-98074,US,LS,34.95403,-80.759271,8157 Kesington Drive,waxhaw,NC,28173,Eastern Standard Time,GMT-05:00,America/New_York,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00
11257,22077-213924,US,CO,35.016289,-80.801677,9700 Rea Rd|Ste A,waxhaw,NC,28173,Eastern Standard Time,GMT-05:00,America/New_York,05:30,20:30,05:30,20:30,05:30,20:30,05:30,20:30,05:30,20:30,06:00,20:30,06:00,20:30
11258,73918-103375,US,LS,35.02301,-80.848201,16625 Lancaster Hwy,charlotte,NC,282772038,Eastern Standard Time,GMT-05:00,America/New_York,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00
11259,10241-99049,US,CO,35.034833,-80.8057,9820-A Rea Road|Blakeney,charlotte,NC,282776681,Eastern Standard Time,GMT-05:00,America/New_York,06:00,20:30,06:00,20:30,06:00,20:30,06:00,20:30,06:00,20:30,06:30,21:00,06:30,20:00
11260,79359-101268,US,LS,35.022479,-80.761232,13639 Providence Rd,weddington,NC,281049373,Eastern Standard Time,GMT-05:00,America/New_York,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00
11261,19910-202325,US,LS,34.939106,-80.98005,1900 Springsteen Rd,rock hill,SC,29730,Eastern Standard Time,GMT-05:00,America/New_York,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
11262,9279-94778,US,CO,34.976351,-80.989665,1303 Riverchase Blvd.,rock hill,SC,297322793,Eastern Standard Time,GMT-05:00,America/New_York,05:30,22:00,05:30,22:00,05:30,22:00,05:30,22:00,05:00,22:00,05:30,22:30,06:30,21:30
11263,76939-128669,US,LS,34.999554,-80.696796,6350 Weddington Monroe Rd,wesley chapel,NC,281047924,Eastern Standard Time,GMT-05:00,America/New_York,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00
11264,49192-267306,US,CO,35.025451,-80.962047,1343 Broadcloth Street,fort mill,SC,29715,Eastern Standard Time,GMT-05:00,America/New_York,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:00,20:00,05:30,20:00,05:30,20:00
11265,9499-96615,US,CO,35.028857,-80.967069,926 Market Street|Baxter Town Village,fort mill,SC,297086443,Eastern Standard Time,GMT-05:00,America/New_York,05:00,21:00,05:00,21:00,05:00,17:00,05:00,21:00,05:00,21:00,05:00,21:00,05:30,21:00
11266,25487-233567,US,LS,35.057858,-80.936008,500 Mercantile Pl,fort mill,SC,29715,Eastern Standard Time,GMT-05:00,America/New_York,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
11267,16622-93621,US,LS,35.033461,-80.970471,1750 Hwy 160 W,fort mill,SC,29708,Eastern Standard Time,GMT-05:00,America/New_York,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00,06:00,19:00
11268,48156-256287,US,CO,34.943103,-81.029771,610 N Cherry Rd,rock hill,SC,297323120,Eastern Standard Time,GMT-05:00,America/New_York,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,05:00,23:00,05:30,23:00,06:00,22:00
11269,5024-139804,US,LS,34.9415,-81.0309,2020 Alumni Dr,rock hill,SC,297321830,Eastern Standard Time,GMT-05:00,America/New_York,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,09:00,21:00,11:00,21:00
